code,xcoord,ycoord,perc_poverty,metro,pop_density,gdp_percapita,perc_secondary_compelte,income_gini,lab_perc_of_totpob,street_density_km,intersection_density_km,regularity,bet_cen_Gini,clo_cen_Gini,inf_cen_Gini,country
2482,-85.18415,32.28725,.209,2,3.5584898204208,3.19122455021056,.888,.4203,.587,2.12087779381147,2.03908811645566,-.632422802850356,.79756995,.134236,.13237947,2
3238,-91.78081,43.98772,.145,1,3.45240889232217,3.79866867016019,.947,.4297,.704,2.39982594003803,1.50689542964812,-.411376751854905,.76717019,.15569595,.16874918,2
4639,-119.73872,48.54855,.218,1,1.10833601629095,3.47121900433643,.904,.4318,.646,.944418640606412,.278803552690787,-.753294675803901,.85074841,.13612684,.16692889,2
4315,-98.71136,29.94414,.057,2,3.08078356040476,3.72188575495548,.949,.4532,.586,2.14553382951542,1.29681738391082,-.76983035304906,.80707377,.13545412,.16259979,2
2935,-85.79159,39.52306,.106,2,3.73130561974342,3.76192775624779,.907,.3838,.664,3.14358081493101,2.03873811169232,-.575057736720554,.72553792,.1617251,.17864504,2
3763,-84.29051,39.75395,.179,2,6.10146279399589,3.84500157722636,.921,.468,.617,8.82248431249264,15.2449801831967,-.521098682024587,.82931348,.1201841,.14699548,2
265,-72.10431,41.48896,.099,2,5.0666439125822,4.09899230935949,.942,.4336,.679,4.43284308689783,4.67819263601386,-.791760299625468,.7980274,.10403662,.1684373,2
73,-119.82236,38.59679,.198,1,-.52518741737818,5.14835771516251,.908,.4583,.49,.262334749236683,.0936061597857042,-.899441340782123,.73138295,.15066044,.15165202,2
960,-92.79016,42.73173,.094,1,2.2986300095527,3.77308652738354,.954,.4049,.656,2.353646561984,.866537920202839,-.110599078341014,.63175855,.08438633,.20130825,2
2789,-88.76958,41.89373,.181,2,4.15600695548507,3.549296505131,.952,.4306,.688,2.92254256152875,2.1992719093964,-.4321608040201,.79484262,.15760654,.18283481,2
3618,-77.87076,34.25758,.18,2,6.06277611437432,3.96803716899671,.944,.4835,.651,7.87379986176927,13.4338375568836,-.523636363636364,.8254382,.11114691,.164635,2
2515,-91.90848,36.09604,.177,1,2.19328076594768,3.07535832289904,.89,.4311,.454,2.15486868725512,1.38791315058671,-.709491850431448,.80298303,.1082715,.16466717,2
3187,-95.00586,45.15261,.113,1,3.02370821888386,4.06992647961992,.935,.438,.682,2.62016059761952,1.39558398215658,-.464808362369338,.72491014,.14712968,.19103012,2
3831,-97.94193,35.9453,.089,1,1.88373657687727,3.85784046940938,.916,.4056,.651,3.73140385163975,2.69664321883071,-.655062280421591,.79822141,.09318896,.13561786,2
4006,-81.02487,32.43172,.226,2,2.74996968020588,3.46987648624053,.851,.4205,.631,2.15934427898053,1.55308024683127,-.781692837993106,.78308449,.12017649,.17148831,2
4127,-82.94885,36.44355,.193,2,3.80379885191492,3.47773841361912,.899,.4388,.529,3.24507498969395,2.51333309291281,-.771879936808847,.81905354,.10779196,.15334214,2
2087,-111.16926,45.54486,.13,1,2.64907158416784,3.84053001231146,.976,.4551,.721,.98856243286154,.756570921581225,-.524447949526814,.80913615,.16380716,.14732358,2
3112,-71.2053,42.16073,.065,2,6.50779254625322,4.2667663635756,.966,.4751,.693,9.74790321730117,19.1174575508998,-.754822073233626,.83989986,.10166415,.13272074,2
1699,-84.2722,37.71659,.195,1,4.3279664726148,3.40137871455369,.921,.4574,.621,3.31949804816008,3.08853247316563,-.777459133926011,.8130021,.130962,.15288258,2
3948,-77.0663,41.34311,.14,2,3.60170824789775,4.04006413201145,.907,.424,.617,2.73496072622347,2.13888227462487,-.65028773793714,.82604376,.15698446,.15083575,2
2992,-92.99908,42.03587,.112,1,3.31873333641537,3.66175659544131,.926,.3908,.651,2.48598609989407,1.37310641266154,-.26217412690605,.66619138,.16214267,.18195601,2
1141,-98.08607,37.9523,.14,1,2.98072048994749,3.54651265138392,.92,.474,.568,2.77840068157795,1.34898062837106,-.0674902768245253,.72703446,.16773939,.19110326,2
3860,-95.60407,36.37004,.094,2,3.93122460096445,3.42640780065545,.94,.459,.592,3.31657790283496,2.83848855478643,-.613645538958417,.83507534,.14820474,.1444582,2
516,-83.98061,32.71392,.181,2,2.70145838809553,2.59963380023901,.859,.4283,.54,1.65856513658412,.654812810919124,-.785063752276867,.66142161,.09634295,.18353948,2
3135,-84.38804,43.64331,.113,2,4.13584068019008,4.06859657215011,.953,.4637,.608,3.24132980778379,2.25565764756054,-.569333333333333,.78717952,.14290711,.16391951,2
4718,-91.28069,45.0694,.107,2,3.18645751567881,3.70825925820945,.945,.4035,.651,2.77821070521713,1.70236018964872,-.558730158730159,.77633676,.13642759,.17961478,2
